Name,SMILES_x,DDPD-ID,Drug-Name,Molecular-Weight,Molecular-Formula,data_source
acarbose,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,DDPD00284,Acarbose,645.608,C25H43NO18,original
acebutolol,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O,DDPD01193,Acebutolol,336.4259,C18H28N2O4,original
aceclidine,CC(=O)OC1CN2CCC1CC2,,,169.22,C9H15NO2,PubChem
aceclofenac,OC(=O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,DDPD06736,Aceclofenac,354.18,C16H13Cl2NO4,original
acemetacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,DDPD13783,Acemetacin,415.83,C21H18ClNO6,original
acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O,DDPD01418,Acenocoumarol,353.3255,C19H15NO6,original
acetaminophen,CC(=O)NC1=CC=C(O)C=C1,DDPD00316,Acetaminophen,151.1626,C8H9NO2,original
acetarsol,CC(=O)NC1=CC(=CC=C1O)[As](O)(O)=O,DDPD13268,Acetarsol,275.0903,C8H10AsNO5,original
acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DDPD00819,Acetazolamide,222.245,C4H6N4O3S2,original
acetic acid,CC(O)=O,DDPD03166,Acetic acid,60.052,C2H4O2,original
acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,DDPD00414,Acetohexamide,324.395,C15H20N2O4S,original
acetohydroxamic acid,CC(=O)NO,DDPD00551,Acetohydroxamic acid,75.0666,C2H5NO2,original
acetophenazine,CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,DDPD01063,Acetophenazine,411.56,C23H29N3O2S,original
acetyl sulfisoxazole,CC(=O)N(C1=C(C)C(C)=NO1)S(=O)(=O)C1=CC=C(N)C=C1,DDPD14033,Acetyl sulfisoxazole,309.34,C13H15N3O4S,original
acetylcarnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,DDPD08842,Acetylcarnitine,203.238,C9H17NO4,original
acetylcholine,CC(=O)OCC[N+](C)(C)C,,,146.21,C7H16NO2+,PubChem
acetylcysteine,CC(=O)N[C@@H](CS)C(O)=O,DDPD06151,Acetylcysteine,163.195,C5H9NO3S,original
acetyldigitoxin,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1,DDPD00511,Acetyldigitoxin,806.9757,C43H66O14,original
acetylene,C#C,,,26.04,C2H2,PubChem
acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(O)=O,DDPD00945,Acetylsalicylic acid,180.1574,C9H8O4,original
acipimox,CC1=[N+]([O-])C=C(N=C1)C(O)=O,,,154.12,C6H6N2O3,PubChem
acitretin,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,DDPD00459,Acitretin,326.4293,C21H26O3,original
aclidinium,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,DDPD08897,Aclidinium,484.651,C26H30NO4S2,original
acrivastine,[H]\C(CN1CCCC1)=C(\C1=CC=C(C)C=C1)C1=CC=CC(=N1)C(\[H])=C(/[H])C(O)=O,DDPD09488,Acrivastine,348.4382,C22H24N2O2,original
activated charcoal,[C],DDPD09278,Activated charcoal,12.011,C,original
acyclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,DDPD00787,Acyclovir,225.2046,C8H11N5O3,original
adagrasib,[H][C@@]1(COC2=NC3=C(CCN(C3)C3=CC=CC4=C3C(Cl)=CC=C4)C(=N2)N2CCN(C(=O)C(F)=C)[C@@]([H])(CC#N)C2)CCCN1C,,,604.1,C32H35ClFN7O2,PubChem
adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,DDPD00210,Adapalene,412.5201,C28H28O3,original
adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C,DDPD00718,Adefovir dipivoxil,501.4705,C20H32N5O8P,original
ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,DDPD00118,Ademetionine,398.44,C15H22N6O5S,original
adenine,NC1=C2NC=NC2=NC=N1,DDPD00173,Adenine,135.1267,C5H5N5,original
adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,DDPD00640,Adenosine,267.2413,C10H13N5O4,original
adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,DDPD00131,Adenosine phosphate,347.2212,C10H14N5O7P,original
adiphenine,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,,,311.4,C20H25NO2,PubChem
afamelanotide,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,DDPD04931,Afamelanotide,1646.8452,C78H111N21O19,original
afatinib,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,DDPD08916,Afatinib,485.938,C24H25ClFN5O3,original
agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,DDPD06594,Agomelatine,243.301,C15H17NO2,original
ajmaline,[H][C@]12C[C@]34[C@H](O)C1[C@@]1([H])C[C@]([H])(N2[C@H](O)[C@H]1CC)[C@]3([H])N(C)C1=CC=CC=C41,DDPD01426,Ajmaline,326.4326,C20H26N2O2,original
alatrofloxacin,[H][C@@]12CN(C[C@]1([H])[C@H]2NC(=O)[C@H](C)NC(=O)[C@H](C)N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=CC=C(F)C=C1F)C(O)=O,,,558.5,C26H25F3N6O5,PubChem
albendazole,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,DDPD00518,Albendazole,265.331,C12H15N3O2S,original
alcaftadine,CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12,DDPD06766,Alcaftadine,307.3895,C19H21N3O,original
alclofenac,OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1,DDPD13167,Alclofenac,226.66,C11H11ClO3,original
alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,DDPD00240,Alclometasone,408.916,C22H29ClO5,original
alcloxa,[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-].NC(=O)NC1NC(=O)[N-]C1=O,,,314.55,C4H9Al2ClN4O7,PubChem
alectinib,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,DDPD11363,Alectinib,482.6166,C30H34N4O2,original
alendronic acid,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,DDPD00630,Alendronic acid,249.096,C4H13NO7P2,original
alfacalcidol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,DDPD01436,Alfacalcidol,400.6371,C27H44O2,original
alfentanil,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,DDPD00802,Alfentanil,416.5172,C21H32N6O3,original
alfuzosin,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1,DDPD00346,Alfuzosin,389.4488,C19H27N5O4,original
alimemazine,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12,DDPD01246,Alimemazine,298.446,C18H22N2S,original
aliskiren,COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,DDPD09026,Aliskiren,551.7583,C30H53N3O6,original
alitretinoin,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,DDPD00523,Alitretinoin,300.4351,C20H28O2,original
allantoin,NC(=O)NC1NC(=O)NC1=O,DDPD11100,Allantoin,158.1154,C4H6N4O3,original
alloin,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C2=CC=CC(O)=C2C(=O)C2=C1C=C(CO)C=C2O,,,418.4,C21H22O9,PubChem
allopurinol,OC1=NC=NC2=C1C=NN2,DDPD00437,Allopurinol,136.1115,C5H4N4O,original
almasilate,O.[Mg++].[Al+3].[Al+3].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],DDPD13595,Almasilate,280.445,Al2H2MgO9Si2,original
almitrine,FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1,DDPD01430,Almitrine,477.5522,C26H29F2N7,original
almotriptan,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,DDPD00918,Almotriptan,335.464,C17H25N3O2S,original
alogliptin,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,DDPD06203,Alogliptin,339.3916,C18H21N5O2,original
alosetron,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2,DDPD00969,Alosetron,294.351,C17H18N4O,original
alpelisib,CC1=C(SC(NC(=O)N2CCC[C@H]2C(N)=O)=N1)C1=CC(=NC=C1)C(C)(C)C(F)(F)F,DDPD12015,Alpelisib,441.47,C19H22F3N5O2S,original
alpha-amyl cinnamaldehyde,CCCCC\C(C=O)=C\C1=CC=CC=C1,,,202.29,C14H18O,PubChem
alpha-arbutin,OC[C@H]1O[C@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,,,272.25,C12H16O7,PubChem
alpha-linolenic acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,DDPD00132,alpha-Linolenic acid,278.4296,C18H30O2,original
alpha-tocopherol succinate,[H][C@@](C)(CCCC(C)C)CCC[C@@]([H])(C)CCC[C@]1(C)CCC2=C(C)C(OC(=O)CCC(O)=O)=C(C)C(C)=C2O1,DDPD14001,alpha-Tocopherol succinate,530.79,C33H54O5,original
alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,DDPD00404,Alprazolam,308.765,C17H13ClN4,original
alprostadil,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,DDPD00770,Alprostadil,354.487,C20H34O5,original
altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,DDPD00488,Altretamine,210.2794,C9H18N6,original
aluminium,[Al],DDPD01370,Aluminium,26.9815,Al,original
aluminium phosphate,[Al+3].[O-]P([O-])([O-])=O,,,121.953,AlO4P,PubChem
aluminum acetate,[Al+3].CC([O-])=O.CC([O-])=O.CC([O-])=O,,,204.11,C6H9AlO6,PubChem
aluminum chloride,Cl[Al](Cl)Cl,DDPD11081,Aluminum chloride,133.341,AlCl3,original
aluminum chlorohydrate,O.[OH-].[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-],DDPD11573,Aluminum chlorohydrate,192.46,Al2ClH7O6,original
aluminum hydroxide,[OH-].[OH-].[OH-].[Al+3],DDPD06723,Aluminum hydroxide,78.0036,AlH3O3,original
aluminum oxide,[O--].[O--].[O--].[Al+3].[Al+3],,,101.961,Al2O3,PubChem
aluminum subacetate,CC(=O)O[Al](O)OC(C)=O,,,162.08,C4H7AlO5,PubChem
aluminum sulfate,[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,DDPD11239,Aluminum sulfate,342.151,Al2O12S3,original
aluminum zirconium octachlorohydrex gly,O.O.[Al+3].[Cl-].[Zr+4].NCC([O-])=O,DDPD11200,Aluminum zirconium octachlorohydrex gly,263.74,C2H8AlClNO4Zr,original
alverine,CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1,DDPD01616,Alverine,281.4351,C20H27N,original
alvimopan,C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1,DDPD06274,Alvimopan,424.5326,C25H32N2O4,original
amantadine,NC12CC3CC(CC(C3)C1)C2,DDPD00915,Amantadine,151.2487,C10H17N,original
ambenonium,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,DDPD01122,Ambenonium,537.565,C28H42Cl2N4O2,original
ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,DDPD06403,Ambrisentan,378.428,C22H22N2O4,original
ambroxol,NC1=C(Br)C=C(Br)C=C1CN[C@H]1CC[C@H](O)CC1,DDPD06742,Ambroxol,378.108,C13H18Br2N2O,original
amcinonide,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DDPD00288,Amcinonide,502.5717,C28H35FO7,original
amifampridine,NC1=CC=NC=C1N,DDPD11640,Amifampridine,109.132,C5H7N3,original
amifostine,NCCCNCCSP(O)(O)=O,DDPD01143,Amifostine,214.223,C5H15N2O3PS,original
amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,DDPD00479,Amikacin,585.6025,C22H43N5O13,original
amiloride,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,DDPD00594,Amiloride,229.627,C6H8ClN7O,original
amiloxate,COC1=CC=C(\C=C\C(=O)OCCC(C)C)C=C1,DDPD11207,Amiloxate,248.322,C15H20O3,original
aminobenzoic acid,NC1=CC=C(C=C1)C(O)=O,DDPD02362,Aminobenzoic acid,137.136,C7H7NO2,original
aminocaproic acid,NCCCCCC(O)=O,DDPD00513,Aminocaproic acid,131.1729,C6H13NO2,original
aminoglutethimide,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,DDPD00357,Aminoglutethimide,232.2783,C13H16N2O2,original
aminohippuric acid,NC1=CC=C(C=C1)C(=O)NCC(O)=O,DDPD00345,Aminohippuric acid,194.1873,C9H10N2O3,original
aminolevulinic acid,NCC(=O)CCC(O)=O,DDPD00855,Aminolevulinic acid,131.1299,C5H9NO3,original
aminophenazone,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,DDPD01424,Aminophenazone,231.2936,C13H17N3O,original
aminophylline,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,DDPD01223,Aminophylline,420.4264,C16H24N10O4,original
aminosalicylic acid,NC1=CC(O)=C(C=C1)C(O)=O,DDPD00233,Aminosalicylic acid,153.1354,C7H7NO3,original
amiodarone,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,DDPD01118,Amiodarone,645.3116,C25H29I2NO3,original
amisulpride,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,DDPD06288,Amisulpride,369.479,C17H27N3O4S,original
amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,DDPD00321,Amitriptyline,277.4033,C20H23N,original
amitriptylinoxide,CN(C)(=O)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,,,293.4,C20H23NO,PubChem
amlexanox,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1,DDPD01025,Amlexanox,298.2934,C16H14N2O4,original
amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,DDPD00381,Amlodipine,408.876,C20H25ClN2O5,original
ammonia n-13,[13NH3],DDPD09326,Ammonia N-13,16.03,H3N,original
ammonia n-13,[13NH3],DDPD11118,Ammonia,N.A.,N.A.,original
ammonium carbonate,[NH4+].[NH4+].[O-]C([O-])=O,,,96.09,CH8N2O3,PubChem
ammonium chloride,[NH4+].[Cl-],DDPD06767,Ammonium chloride,53.49,ClH4N,original
ammonium lactate,[NH4+].CC(O)C([O-])=O,DDPD06768,Ammonium lactate,107.1085,C3H9NO3,original
amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,DDPD01351,Amobarbital,226.2722,C11H18N2O3,original
amodiaquine,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1,DDPD00613,Amodiaquine,355.861,C20H22ClN3O,original
amorolfine,[H]C(C)(CN1C[C@]([H])(C)O[C@]([H])(C)C1)CC1=CC=C(C=C1)C(C)(C)CC,,,317.5,C21H35NO,PubChem
amoxapine,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,DDPD00543,Amoxapine,313.781,C17H16ClN3O,original
amoxicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,DDPD01060,Amoxicillin,365.404,C16H19N3O5S,original
amphetamine,CC(N)CC1=CC=CC=C1,DDPD00182,Amphetamine,135.2062,C9H13N,original
amphotericin b,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,DDPD00681,Amphotericin B,924.079,C47H73NO17,original
ampicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,DDPD00415,Ampicillin,349.405,C16H19N3O4S,original
amprenavir,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,DDPD00701,Amprenavir,505.627,C25H35N3O6S,original
amrinone,NC1=CC(=CNC1=O)C1=CC=NC=C1,DDPD01427,Amrinone,187.198,C10H9N3O,original
amsacrine,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,DDPD00276,Amsacrine,393.459,C21H19N3O3S,original
amyl nitrite,CCCCCON=O,DDPD01612,Amyl Nitrite,117.1463,C5H11NO2,original
amylmetacresol,CCCCCC1=CC=C(C)C=C1O,DDPD13908,Amylmetacresol,178.275,C12H18O,original
amylocaine,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1,,,235.32,C14H21NO2,PubChem
anagrelide,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,DDPD00261,Anagrelide,256.088,C10H7Cl2N3O,original
anastrozole,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,DDPD01217,Anastrozole,293.3663,C17H19N5,original
anethole,COC1=CC=C(\C=C\C)C=C1,,,148.20,C10H12O,PubChem
anethole trithione,COC1=CC=C(C=C1)C1=CC(=S)SS1,DDPD13853,Anethole trithione,240.35,C10H8OS3,original
anidulafungin,[H][C@]1(NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,DDPD00362,Anidulafungin,1140.2369,C58H73N7O17,original
anileridine,CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1,DDPD00913,Anileridine,352.4699,C22H28N2O2,original
anisindione,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,DDPD01125,Anisindione,252.2647,C16H12O3,original
anisotropine methylbromide,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C,DDPD00517,Anisotropine methylbromide,362.345,C17H32BrNO2,original
antazoline,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1,DDPD08799,Antazoline,265.3529,C17H19N3,original
anthralin,OC1=CC=CC2=C1C(=O)C1=C(O)C=CC=C1C2,DDPD11157,Anthralin,226.231,C14H10O3,original
antipyrine,CN1N(C(=O)C=C1C)C1=CC=CC=C1,DDPD01435,Antipyrine,188.2258,C11H12N2O,original
antrafenine,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCOC(=O)C2=CC=CC=C2NC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)CC1,DDPD01419,Antrafenine,588.5435,C30H26F6N4O2,original
apalutamide,CNC(=O)C1=CC=C(C=C1F)N1C(=S)N(C(=O)C11CCC1)C1=CC(=C(N=C1)C#N)C(F)(F)F,DDPD11901,Apalutamide,477.44,C21H15F4N5O2S,original
apixaban,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,DDPD06605,Apixaban,459.4971,C25H25N5O4,original
apomorphine,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,DDPD00714,Apomorphine,267.3224,C17H17NO2,original
apraclonidine,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,DDPD00964,Apraclonidine,245.109,C9H10Cl2N4,original
apremilast,CCOC1=CC(=CC=C1OC)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O,DDPD05676,Apremilast,460.5,C22H24N2O7S,original
aprepitant,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,DDPD00673,Aprepitant,534.4267,C23H21F7N4O3,original
apronalide,CC(C)C(CC=C)C(=O)NC(N)=O,,,184.24,C9H16N2O2,PubChem
arbutamine,O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1,DDPD01102,Arbutamine,317.3795,C18H23NO4,original
arbutin,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,DDPD11217,Arbutin,272.2512,C12H16O7,original
arformoterol,COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1,DDPD01274,Arformoterol,344.4049,C19H24N2O4,original
