compound_name,NO.,IUPAC_name,SMILES,CID,logBB,BBB+/BBB-,Inchi,threshold,reference,group,comments,source,MW,AMW,SLogP,SMR,TopoPSA,TopoPSA(NO),nHBAcc,nHBDon,nRot,nAromAtom,nAromBond,nRing,nHetero,nC,nN,nO,nS,HybRatio,FCSP3,apol,bpol,LabuteASA,Lipinski,GhoseFilter
(+)-threo-mefloquine,3805,"(s)-[2,8-bis(trifluoromethyl)quinolin-4-yl]-[(2s)-piperidin-2-yl]methanol",O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,3000516.0,,BBB+,"InChI=1S/C17H16F6N2O/c18-16(19,20)11-5-3-4-9-10(15(26)12-6-1-2-7-24-12)8-13(17(21,22)23)25-14(9)11/h3-5,8,12,15,24,26H,1-2,6-7H2/t12-,15-/m0/s1",-1.0,R13|R27|,B,,classification,378.1166824520005,9.002778153619058,4.447900000000003,82.34850000000002,45.15000000000001,45.15000000000001,3,2,2,10,11,3,9,17,2,1,0,0.4705882352941176,0.4705882352941176,45.40268799999998,24.439312,144.5837297471838,1,1
(-)-camphor,6154,"(1s,4s)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,444294.0,,BBB+,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m0/s1",,R24|,C,,classification,152.120115132,5.634078338222222,2.401700000000001,44.23600000000002,17.07,17.07,1,0,0,0,0,2,1,10,0,1,0,0.9,0.9,28.17068799999997,16.919312,68.17358985038433,1,0
(-)-carteolol,2781,"5-[(2s)-3-(tert-butylamino)-2-hydroxypropoxy]-3,4-dihydro-1h-quinolin-2-one",CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,6604410.0,,BBB+,"InChI=1S/C16H24N2O3/c1-16(2,3)17-9-11(19)10-21-14-6-4-5-13-12(14)7-8-15(20)18-13/h4-6,11,17,19H,7-10H2,1-3H3,(H,18,20)/t11-/m0/s1",-1.0,R13|R27|,B,,classification,292.1786926280007,6.492859836177794,1.6991,82.65020000000003,70.58999999999999,70.58999999999999,4,3,5,6,6,2,5,16,2,3,0,0.5625,0.5625,47.32903199999998,27.820968,125.2440185588966,1,1
(-)-nefopam,6394,"(1r)-5-methyl-1-phenyl-1,3,4,6-tetrahydro-2,5-benzoxazocine",CN1CCO[C@H](c2ccccc2)c2ccccc2C1,176540.0,,BBB+,"InChI=1S/C17H19NO/c1-18-11-12-19-17(14-7-3-2-4-8-14)16-10-6-5-9-15(16)13-18/h2-10,17H,11-13H2,1H3/t17-/m1/s1",,R24|R27|,C,,classification,253.146664228,6.661754321789473,3.238000000000002,77.01300000000005,12.47,12.47,2,0,1,12,12,3,2,17,1,1,0,0.2941176470588235,0.2941176470588235,42.96106699999998,22.506933,114.1807556437251,1,1
(-)-nomifensine,3250,"(4s)-2-methyl-4-phenyl-3,4-dihydro-1h-isoquinolin-8-amine",CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1,55993.0,,BBB+,"InChI=1S/C16H18N2/c1-18-10-14(12-6-3-2-4-7-12)13-8-5-9-16(17)15(13)11-18/h2-9,14H,10-11,17H2,1H3/t14-/m0/s1",-1.0,R13|R27|R30|,B,,classification,238.146998576,6.615194404888888,2.846100000000002,75.47340000000004,29.26,29.26,2,1,1,12,12,3,2,16,2,0,0,0.25,0.25,40.92227399999998,19.197726,108.0421589968343,1,1
(-)-pentazocine,6972,"(1s,9r,13r)-1,13-dimethyl-10-(3-methylbut-2-enyl)-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol",CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,12259682.0,,BBB+,"InChI=1S/C19H27NO/c1-13(2)7-9-20-10-8-19(4)14(3)18(20)11-15-5-6-16(21)12-17(15)19/h5-7,12,14,18,21H,8-11H2,1-4H3/t14-,18+,19-/m0/s1",,R27|R30|,C,,classification,285.2092644840008,5.941859676750016,3.882600000000002,87.73580000000005,23.47,23.47,2,1,2,6,6,3,2,19,1,1,0,0.5789473684210527,0.5789473684210527,51.63541099999997,28.796589,128.0284526898095,1,1
(-)-stiripentol,2786,"(e,3s)-1-(1,3-benzodioxol-5-yl)-4,4-dimethylpent-1-en-3-ol",CC(C)(C)[C@@H](O)/C=C/c1ccc2c(c1)OCO2,25271730.0,,BBB+,"InChI=1S/C14H18O3/c1-14(2,3)13(15)7-5-10-4-6-11-12(8-10)17-9-16-11/h4-8,13,15H,9H2,1-3H3/b7-5+/t13-/m0/s1",-1.0,R13|R24|,B,,classification,234.125594436,6.689302698171429,2.835500000000001,67.06080000000004,38.69,38.69,3,1,2,6,6,2,3,14,0,3,0,0.4285714285714285,0.4285714285714285,37.78827399999997,21.529726,101.6768300601661,1,1
(-)-verapamil,7759,"(2s)-2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile",COc1ccc(CCN(C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,92305.0,,BBB-,"InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3/t27-/m0/s1",,R9|R24|R27|R30|,D,,classification,454.283157696001,6.398354333746493,5.093080000000005,131.656,63.95,63.95,6,0,13,12,12,2,6,27,2,4,0,0.5384615384615384,0.5185185185185185,75.83613399999997,47.34586600000004,198.5692233112098,0,0
"(1s,2r)-metaraminol",3540,"3-[(1s,2s)-2-amino-1-hydroxypropyl]phenol",C[C@H](N)[C@@H](O)c1cccc(O)c1,24835602.0,,BBB-,"InChI=1S/C9H13NO2/c1-6(10)9(12)7-3-2-4-8(11)5-7/h2-6,9,11-12H,10H2,1H3/t6-,9+/m0/s1",-1.0,R13|,B,,classification,167.094628656,6.68378514624,0.7728000000000002,46.71600000000002,66.48,66.48,3,3,2,6,6,1,3,9,1,2,0,0.3333333333333333,0.3333333333333333,26.40230899999998,12.471691,71.45458766409152,1,1
"(2s,5s,6s)-6-[[(2s)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",6254,"(2s,5s,6s)-6-[[(2s)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CCN1CCN(C(=O)N[C@H](C(=O)N[C@H]2C(=O)N3[C@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,92354763.0,,BBB-,"InChI=1S/C23H27N5O7S/c1-4-26-10-11-27(19(32)18(26)31)22(35)25-13(12-8-6-5-7-9-12)16(29)24-14-17(30)28-15(21(33)34)23(2,3)36-20(14)28/h5-9,13-15,20H,4,10-11H2,1-3H3,(H,24,29)(H,25,35)(H,33,34)/t13-,14-,15-,20-/m0/s1",,R24|,C,,classification,517.1631192040006,8.208938400063502,-0.2402999999999968,127.3402,181.73,156.43,7,3,6,6,6,4,13,23,5,7,1,0.4782608695652174,0.4782608695652174,70.42741099999998,41.02458900000003,210.8836273593016,0,0
"(3s,11bs)-tetrabenazine",3414,"(3s,11bs)-9,10-dimethoxy-3-(2-methylpropyl)-1,3,4,6,7,11b-hexahydrobenzo[a]quinolizin-2-one",COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,11634155.0,,BBB+,"InChI=1S/C19H27NO3/c1-12(2)7-14-11-20-6-5-13-8-18(22-3)19(23-4)9-15(13)16(20)10-17(14)21/h8-9,12,14,16H,5-7,10-11H2,1-4H3/t14-,16-/m0/s1",-1.0,R13|,B,,classification,317.1990937240008,6.343981874480015,3.238100000000002,90.13300000000004,38.77,38.77,4,0,4,6,6,3,4,19,1,3,0,0.631578947368421,0.631578947368421,53.23941099999998,33.136589,138.3124345288553,1,1
(?)-pheniramine,7258,"(3r)-n,n-dimethyl-3-phenyl-3-pyridin-2-ylpropan-1-amine",CN(C)CC[C@H](c1ccccc1)c1ccccn1,920230.0,,BBB+,"InChI=1S/C16H20N2/c1-18(2)13-11-15(14-8-4-3-5-9-14)16-10-6-7-12-17-16/h3-10,12,15H,11,13H2,1-2H3/t15-/m1/s1",,R27|,C,,classification,240.16264864,6.320069701052631,3.165200000000001,75.69300000000005,16.13,16.13,2,0,5,12,12,2,2,16,2,0,0,0.3125,0.3125,42.25585999999998,22.91414,109.2926895486939,1,1
(?)-thiopental,3049,"5-ethyl-5-[(2s)-pentan-2-yl]-2-sulfanylidene-1,3-diazinane-4,6-dione",CCC[C@H](C)C1(CC)C(=O)NC(=S)NC1=O,3033019.0,,BBB+,"InChI=1S/C11H18N2O2S/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)/t7-/m0/s1",-1.0,R13|R37|,B,,classification,242.108898816,7.12084996517647,1.3499,65.67940000000003,90.29,58.2,3,2,4,0,0,1,5,11,2,2,1,0.7272727272727273,0.7272727272727273,37.07627399999997,22.163726,101.1643898327749,1,1
(e)-tamoxifen,971,"2-[4-[(e)-1,2-diphenylbut-1-enyl]phenoxy]-n,n-dimethylethanamine",CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,3032583.0|3032583.0|3032583.0|,0.92,BBB+,"InChI=1S/C26H29NO/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)28-20-19-27(2)3/h5-18H,4,19-20H2,1-3H3/b26-25+",,R43|R47|,A,,classification|regression,371.2249145480008,6.512717799087733,5.996100000000006,119.582,12.47,12.47,2,0,8,18,18,3,2,26,1,1,0,0.2307692307692307,0.2307692307692307,64.65899699999999,32.53900299999999,168.6489043143239,0,0
(r)-(+)-pindolol,5016,(2r)-1-(1h-indol-4-yloxy)-3-(propan-2-ylamino)propan-2-ol,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,155030.0,,BBB+,"InChI=1S/C14H20N2O2/c1-10(2)16-8-11(17)9-18-14-5-3-4-13-12(14)6-7-15-13/h3-7,10-11,15-17H,8-9H2,1-2H3/t11-/m1/s1",,R9|R24|,C,,classification,248.15247788,6.530328365263157,1.9056,72.93920000000004,57.28,57.28,3,3,6,9,10,2,4,14,2,2,0,0.4285714285714285,0.4285714285714285,40.51985999999998,22.94013999999999,106.969521923937,1,1
(r)-(-)-ibuprofen,418,(2r)-2-[4-(2-methylpropyl)phenyl]propanoic acid,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,114864.0|114864.0|,-0.18,BBB+,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m1/s1",,R48|,A,,classification|regression,206.130679816,6.246384236848485,3.073200000000001,61.03480000000004,37.3,37.3,1,1,4,6,6,1,2,13,0,2,0,0.4615384615384615,0.4615384615384615,35.31627399999997,18.925726,90.94175377251302,1,1
(r)-(-)-isoflurane,795,"(2r)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",FC(F)O[C@H](Cl)C(F)(F)F,11095291.0|11095291.0|,0.42,BBB+,"InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H/t1-/m0/s1",,R48|,A,,classification|regression,183.971433464,15.33095278866667,2.3528,22.785,9.23,9.23,1,0,2,0,0,0,7,3,0,1,0,1.0,1.0,12.110586,9.817413999999998,57.71362372764249,1,0
(r)-aminoglutethimide,6329,"(3r)-3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione",CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O,86488.0,,BBB+,"InChI=1S/C13H16N2O2/c1-2-13(8-7-11(16)15-12(13)17)9-3-5-10(14)6-4-9/h3-6H,2,7-8,14H2,1H3,(H,15,16,17)/t13-/m1/s1",,R24|R27|R30|,C,,classification,232.121177752,7.03397508339394,1.3532,65.20710000000003,72.19,72.19,3,2,2,6,6,2,4,13,2,2,0,0.3846153846153846,0.3846153846153846,36.18268799999998,17.787312,100.1929638474523,1,1
(r)-aminopromazine,6354,"(2r)-1-n,1-n,2-n,2-n-tetramethyl-3-phenothiazin-10-ylpropane-1,2-diamine",CN(C)C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C,76956348.0,,BBB+,"InChI=1S/C19H25N3S/c1-20(2)13-15(21(3)4)14-22-16-9-5-7-11-18(16)23-19-12-8-6-10-17(19)22/h5-12,15H,13-14H2,1-4H3/t15-/m1/s1",,R24|,C,,classification,327.1769188000007,6.816185808333348,3.781100000000003,100.0420000000001,35.02,9.72,4,0,5,12,12,3,4,19,3,0,1,0.3684210526315789,0.3684210526315789,54.59982499999997,32.67017499999999,143.4398720087834,1,1
(r)-celiprolol,7136,"3-[3-acetyl-4-[(2r)-3-(tert-butylamino)-2-hydroxypropoxy]phenyl]-1,1-diethylurea",CCN(CC)C(=O)Nc1ccc(OC[C@H](O)CNC(C)(C)C)c(C(C)=O)c1,3079418.0,,BBB-,"InChI=1S/C20H33N3O4/c1-7-23(8-2)19(26)22-15-9-10-18(17(11-15)14(3)24)27-13-16(25)12-21-20(4,5)6/h9-11,16,21,25H,7-8,12-13H2,1-6H3,(H,22,26)/t16-/m1/s1",,R27|R30|,C,,classification,379.2471065360009,6.320785108933348,2.890700000000001,107.6437000000001,90.9,90.9,5,3,9,6,6,1,7,20,3,4,0,0.6,0.6,61.91216899999996,39.42783100000002,161.6309739402594,1,1
(r)-citalopram,6345,(1r)-1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3h-2-benzofuran-5-carbonitrile,CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6101829.0,,BBB+,"InChI=1S/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3/t20-/m1/s1",,R24|R27|R30|R37|,C,,classification,324.1637915120006,7.203639811377792,3.812980000000003,90.91400000000006,36.26,36.26,3,0,5,12,12,3,4,20,2,1,0,0.3684210526315789,0.35,50.96165299999998,26.196347,141.8336970713098,1,1
(r)-colchicine,6513,"n-[(7r)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5h-benzo[a]heptalen-7-yl]acetamide",COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@H](NC(C)=O)CC2,53278.0,,BBB-,"InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m1/s1",,R24|R27|R30|,C,,classification,399.1681875200007,7.392003472592605,2.871600000000001,109.2347000000001,83.09,83.09,6,1,5,13,13,3,7,22,1,6,0,0.3636363636363636,0.3636363636363636,59.32182499999998,34.330175,169.1047200632565,1,1
(r)-diethylpropion,7150,(2r)-2-(diethylamino)-1-phenylpropan-1-one,CCN(CC)[C@H](C)C(=O)c1ccccc1,2201750.0,,BBB+,"InChI=1S/C13H19NO/c1-4-14(5-2)11(3)13(15)12-9-7-6-8-10-12/h6-11H,4-5H2,1-3H3/t11-/m1/s1",,R27|,C,,classification,205.146664228,6.033725418470588,2.599600000000001,63.15550000000005,20.31,20.31,2,0,5,6,6,1,2,13,1,1,0,0.4615384615384615,0.4615384615384615,36.28106699999997,21.63893299999999,91.90735369052038,1,1
(r)-enflurane,674,"(2r)-2-chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",FC(F)OC(F)(F)[C@H](F)Cl,11052326.0|11052326.0|11052326.0|,0.2,BBB+,"InChI=1S/C3H2ClF5O/c4-1(5)3(8,9)10-2(6)7/h1-2H/t1-/m0/s1",,R5|R48|,A,chemical name corrected,classification|regression,183.971433464,15.33095278866667,2.3528,22.785,9.23,9.23,1,0,3,0,0,0,7,3,0,1,0,1.0,1.0,12.110586,9.817413999999998,57.71362372764249,1,0
(r)-ethosuximide,5025,"(3r)-3-ethyl-3-methylpyrrolidine-2,5-dione",CC[C@]1(C)CC(=O)NC1=O,6603844.0,,BBB+,"InChI=1S/C7H11NO2/c1-3-7(2)4-5(9)8-6(7)10/h3-4H2,1-2H3,(H,8,9,10)/t7-/m1/s1",,R9|R24|R27|,C,,classification,141.078978592,6.718046599619048,0.4491999999999999,36.1647,46.17,46.17,2,1,1,0,0,1,3,7,1,2,0,0.7142857142857143,0.7142857142857143,21.72872299999998,13.341277,59.79597894437554,1,0
(r)-ethotoin,7154,"(5r)-3-ethyl-5-phenylimidazolidine-2,4-dione",CCN1C(=O)N[C@H](c2ccccc2)C1=O,12309784.0,,BBB+,"InChI=1S/C11H12N2O2/c1-2-13-10(14)9(12-11(13)15)8-6-4-3-5-7-8/h3-7,9H,2H2,1H3,(H,12,15)/t9-/m1/s1",,R27|R30|,C,,classification,204.089877624,7.558884356444445,1.2994,55.10170000000002,49.41,49.41,2,1,2,6,6,2,4,11,2,2,0,0.2727272727272727,0.2727272727272727,30.17551599999998,16.054484,87.88302259184974,1,1
(r)-fluoxetine,6427,(3r)-n-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1548970.0,,BBB+,"InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3/t16-/m1/s1",,R24|R27|R27|R30|,C,,classification,309.1340488560005,7.728351221400013,4.435000000000003,79.79870000000004,21.26,21.26,2,1,6,12,12,2,5,17,1,1,0,0.2941176470588235,0.2941176470588235,43.96527399999998,23.70272599999999,127.4732215194377,1,1
(r)-glutethimide,7241,"(3r)-3-ethyl-3-phenylpiperidine-2,6-dione",CC[C@]1(c2ccccc2)CCC(=O)NC1=O,9837324.0,,BBB+,"InChI=1S/C13H15NO2/c1-2-13(10-6-4-3-5-7-10)9-8-11(15)14-12(13)16/h3-7H,2,8-9H2,1H3,(H,14,15,16)/t13-/m1/s1",,R27|R30|,C,,classification,217.11027872,7.003557378064516,1.771,60.79470000000003,46.17,46.17,2,1,2,6,6,2,3,13,1,2,0,0.3846153846153846,0.3846153846153846,34.41589499999998,17.354105,94.85307315043958,1,1
(r)-halothane,747,"(2r)-2-bromo-2-chloro-1,1,1-trifluoroethane",FC(F)(F)[C@H](Cl)Br,445258.0|445258.0|,0.35,BBB+,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m0/s1",,R48|,A,,classification|regression,195.890224472,24.486278059,2.5085,24.623,0.0,0.0,0,0,0,0,0,0,5,2,0,0,0,1.0,1.0,10.907793,6.232207,51.7716131835279,1,0
(r)-hydroxyzine,5060,2-[2-[4-[(r)-(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]ethanol,OCCOCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,1548974.0,,BBB+,"InChI=1S/C21H27ClN2O2/c22-20-8-6-19(7-9-20)21(18-4-2-1-3-5-18)24-12-10-23(11-13-24)14-16-26-17-15-25/h1-9,21,25H,10-17H2/t21-/m1/s1",,R9|R24|R27|,C,,classification,374.1761057840008,7.059926524226429,3.055900000000001,105.6548,35.94,35.94,4,1,8,12,12,3,5,21,2,2,0,0.4285714285714285,0.4285714285714285,59.05741099999997,32.75258899999999,160.4978577505925,1,1
(r)-ibutilide,7096,n-[4-[(1r)-4-[ethyl(heptyl)amino]-1-hydroxybutyl]phenyl]methanesulfonamide,CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,21149973.0,,BBB+,"InChI=1S/C20H36N2O3S/c1-4-6-7-8-9-16-22(5-2)17-10-11-20(23)18-12-14-19(15-13-18)21-26(3,24)25/h12-15,20-21,23H,4-11,16-17H2,1-3H3/t20-/m1/s1",,R27|,C,,classification,384.244664012001,6.197494580838725,4.164000000000003,109.9753000000001,78.02,69.64,4,2,14,6,6,1,6,20,2,3,1,0.7,0.7,64.91054799999996,45.05145200000004,159.405298219472,1,1
